epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,8884.11,0.46562,0.37803,1.3214,0.77092,0.75306,0.83814,0.72501,0.68087,0.80166,1.88064,0.00031416,0.00031416,0.00031416
142,8944.43,0.46279,0.37026,1.33725,0.83204,0.70287,0.83303,0.72244,0.68068,0.78716,1.89504,0.000311304,0.000311304,0.000311304
143,9004.87,0.4635,0.3732,1.32169,0.79667,0.74021,0.82994,0.72466,0.67109,0.80063,1.87392,0.000308448,0.000308448,0.000308448
144,9065.12,0.45715,0.36981,1.30358,0.827,0.72122,0.83575,0.72022,0.67635,0.80146,1.88231,0.000305592,0.000305592,0.000305592
145,9124.84,0.45327,0.35986,1.29972,0.73421,0.76372,0.84279,0.73237,0.67451,0.79701,1.86577,0.000302736,0.000302736,0.000302736
146,9184.85,0.45392,0.36147,1.30753,0.83029,0.70479,0.83318,0.73043,0.66441,0.7819,1.85377,0.00029988,0.00029988,0.00029988
147,9245.37,0.46449,0.37579,1.32348,0.81945,0.72249,0.83253,0.7252,0.66894,0.78775,1.8385,0.000297024,0.000297024,0.000297024
148,9305.28,0.46676,0.37213,1.31885,0.79821,0.71652,0.83143,0.72352,0.67457,0.78774,1.88115,0.000294168,0.000294168,0.000294168
149,9365.15,0.46379,0.36794,1.33131,0.83993,0.70599,0.84376,0.72641,0.6749,0.78401,1.90372,0.000291312,0.000291312,0.000291312
150,9425.39,0.45656,0.36331,1.33466,0.78493,0.75316,0.83693,0.72637,0.68408,0.78592,1.87114,0.000288456,0.000288456,0.000288456
151,9485.8,0.46309,0.36923,1.34242,0.81386,0.73437,0.83287,0.71934,0.67648,0.78335,1.86644,0.0002856,0.0002856,0.0002856
152,9545.96,0.45911,0.36563,1.32664,0.77481,0.74371,0.83278,0.72069,0.6788,0.80428,1.88808,0.000282744,0.000282744,0.000282744
153,9606.33,0.45879,0.36075,1.34523,0.81545,0.71691,0.82713,0.71784,0.67678,0.7921,1.85719,0.000279888,0.000279888,0.000279888
154,9666.14,0.45152,0.35709,1.32746,0.79643,0.73269,0.84042,0.7288,0.67189,0.78252,1.87262,0.000277032,0.000277032,0.000277032
155,9726.24,0.45212,0.36184,1.3322,0.81878,0.73562,0.83442,0.72596,0.6724,0.77688,1.88937,0.000274176,0.000274176,0.000274176
